Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,10031032
9844779306,Fidesz,Fidesz,4020085
178362315106,European Parliament,European Parliament,2198389
592204747588011,Momentum Mozgalom,Momentum Mozgalom,1525217
109637397268775,Nyugati Pályán,Splendidea Communications Kft,1523579
555868611244245,Dr. Márton Roland,Dr. Márton Roland,1195430
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,1066756
104375981028468,Kálló Gergely,Jobbik Magyarországért Mozgalom,1016180
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,882890
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,874937
115388925185513,Magyar Szocialista Párt,MSZP,867531
110313197104744,Szabad Városok,Mindenki Budapestért Egyesület,813910
107898832590939,European Commission,European Commission,712877
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,663263
104815174368662,Molnár Tibor,Molnár Tibor,613491
264517713636590,PestiSracok.hu,PestiSrácok.hu,591911
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,582908
104375981028468,Kálló Gergely,Kálló Gergely,582654
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,581583
100401808007704,EzaLényeg.hu,EzaLényeg.hu,542954
1880809845328535,Dobrev Klára,Demokratikus Koalíció,504096
110559013802381,EzaLenyeg.hu - Dunaújváros,EzaLényeg.hu,503997
137851763633896,Barlabás András,Barlabás András,471261
341292696291575,Molnár Tamás 4. választókörzet Székesfehérvár,Molnár Tamás,470584
107270767561186,EzaLényeg.hu - Fehérvár,EzaLényeg.hu,450964
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,437730
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,430413
2233605356754529,Újvárosi Valóság,PestiSracok.hu,422521
446594008811991,Válasz Független Civilek,Juhász László,373228
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,370959
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,362206
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,316140
1580170602061811,Fazakas Attila,Fazakas Attila,294707
102159197929139,Terra Case,Görög Ádám,273312
326635018181862,Magyar Nemzet,Magyar Nemzet,258793
230385242742,KDNP és Frakciója,KDNP frakció,240846
202099276507678,24.hu,24.hu,237491
100299381703981,Pesti TV,PestiTV,233987
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,227832
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,223954
788960034452071,Potápi Árpád János,Potápi Árpád János,218680
510019792386607,Emberi Erőforrások Minisztériuma,Emberi Erőforrások Minisztériuma,218415
343700849816717,Hajrá Fehérvár,Dr. Márton Roland,215623
164061553749320,Nemzeti Televízió,Alfahír Hírportál,213185
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,211373
107796764065696,Dr. Sürü Renáta független országgyűlési képviselőjelölt,Dr. Sürü Renáta,200630
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,196697
149061108240,Kocsis Máté,Kocsis Máté,195943
438674070213065,Magyar Állampapír,Magyar Állampapír,194018
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,190298
208726209161904,Z. Kárpát Dániel,Országgyűlés Hivatala Jobbik Frakció,189540
44847086574,Amnesty International Magyarország,Amnesty International,186634
294815374340858,Donáth Anna,Donáth Anna - Momentum,186498
128573907819549,Fekete-Győr András,Fekete-Győr András,180888
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,178794
594088897289853,Alapjogokért Központ,Alapjogokért Központ,178083
566953186696909,Árgyelán János - közéleti oldal,Árgyelán János,177424
554058754619723,IKEA,IKEA,171824
141366725876424,European Greens,European Greens,154828
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,154012
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,145102
1425355697692924,Dr. Tóth Bertalan,MSZP,143980
1435049493448120,Pintér Tamás,Jobbik Magyarországért Mozgalom,143734
108346693873484,Győrffy Balázs,Balazs Gyorffy,140223
506348326210466,Ungár Péter,LMP - Lehet Más a Politika,136771
306318386058001,Dr. Molnár Csaba,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,135569
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,133621
1788976674749685,Törő Gábor,Törő Gábor,133164
122922027734811,feol.hu,feol.hu,131129
395794127277250,Koszti András,Willingstorffer Krisztián,131072
1406386486355924,Partizán,Gulyás Márton Ferenc,123068
682448271826776,Cseh Katalin,Momentum Mozgalom,119712
525574220799452,Alfahír,Alfahír Hírportál,118824
126539424061030,Háttér Társaság,Háttér Társaság,116124
341292696291575,Molnár Tamás 4. választókörzet Székesfehérvár,These ads ran without a disclaimer,110581
2158405567819066,Fülöp Attila,Fülöp Attila,109882
440929799332188,Vargha Tamás,Vargha János Tamás,107808
343700849816717,Hajrá Fehérvár,These ads ran without a disclaimer,105970
