Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,7331
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,6291
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,3691
107898832590939,European Commission,European Commission,2217
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,2006
369517657247790,Σπύρος Πνευματικός - Spiros Pnevmatikos,Spiros Pnevmatikos - Σπύρος Πνευματικός,1725
1632988056952632,Ιωάννης Σαρακιώτης • Ioannis Sarakiotis,Ιωάννης Σαρακιώτης • Ioannis Sarakiotis,1678
504891253213373,Κίνημα Αλλαγής,Κίνημα Αλλαγής,1215
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,1070
117261614999869,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,1027
159977541380043,The President,The President,956
109447140544937,Greece 2021,Greece 2021,914
254883792041627,In Progress,In Progress,876
192906947432657,Protagon.gr (official),Protagon.gr (official),870
412343665635401,Giannis Oikonomou,Ιωαννης Οικονομου,848
230319800467420,Ομάδα Μνήμης,In Progress,822
2273336566260671,Οι Έλληνες,In Progress,797
31324524225,Greenpeace Greece,Greenpeace Greece,795
54529589753,ActionAid Hellas,ActionAid Hellas,757
1561417253893662,Μίλτος Χατζηγιαννάκης - Miltos Chatzigiannakis,Χατζηγιαννάκης,735
1438293789797221,ecoelastika,ecoelastika,684
328579347615625,Φιλελεύθερος,Φιλελεύθερος,669
207373442616924,Ευρωπαϊκή Επιτροπή στην Ελλάδα,Ευρωπαϊκή Επιτροπή στην Ελλάδα,635
1581502955505615,Ζωή Λιβανίου,These ads ran without a disclaimer,629
343233902394715,Ανεξάρτητοι 'Ελληνες,Start Business Hellas,629
156526271054077,Ελένη Μακρή Θεοδώρου,Μακρή-Θεοδώρου Ε.,628
234040963454964,Πέτρος Κόκκαλης - Petros Kokkalis,Πέτρος Κόκκαλης - Petros Kokkalis,618
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,610
311791572779718,Thodoris Kalabokis,Thodoris Kalabokis,610
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,585
503668739739159,Θέμης Χειμάρας - Themis Cheimaras,These ads ran without a disclaimer,582
540255419338122,Dove,"Dove, a Unilever brand",556
352723815813,Γιατροί Χωρίς Σύνορα (MSF),Médecins Sans Frontières Greece (MSF)| Γιατροί Χωρίς Σύνορα (ΓΧΣ),516
1803155206621023,Documento,Documento Media,475
168820243214659,Σίμος Κεδίκογλου (Simos Kedikoglou),Simos Kedikoglou,474
108183264211965,UNICEF Greece,UNICEF Greece,455
369693523475596,INBOX,New Digital Media,452
528797520505550,Δημήτρης Παπαδημούλης I Dimitris Papadimoulis,Dimitrios Papadimoulis,415
1425011587749373,ΗΡΩΝ,ΗΡΩΝ,402
91877963116,WWF Greece,WWF Greece,389
103017518234414,Μπαράκ Ομπάμα: Γη Της Επαγγελίας,Obamabook.gr,382
503668739739159,Θέμης Χειμάρας - Themis Cheimaras,Θέμης Χειμάρας,377
134135906635470,newsbomb.gr,newsbomb.gr,372
216089191899991,Νίκος Ανδρουλάκης,Νίκος Ανδρουλάκης,363
1042099132649984,Giorgos Sklavos,Georgios Sklavos,356
1748153855406537,vradini.gr,vradini.gr,347
884232144944869,Coca-Cola,Coca-Cola,337
308718716701589,Γιώργος Μουλκιώτης -  Βουλευτής Βοιωτίας,Γεωργιος Μουλκιωτης,336
768996799785550,Παύλος Ελευθεριάδης,Pavlos Eleftheriadis,334
1810483529251990,ΔΕΗ Α.Ε.,These ads ran without a disclaimer,329
2494322217472613,Νίκος Θηβαίος,Νικολαος Θηβαιος,320
304509453038770,Λάγιου Βανέσσα - Βασιλική,These ads ran without a disclaimer,319
938104046533363,Άρης Καρβούνης Υπ. Βουλευτής Βοιωτίας,Aris Karvounis,309
239059192856378,parapolitika.gr,parapolitika.gr,307
371502160052057,Μένουμε δυνατοί,ΚΚΕ,295
117072912198,protothema.gr,protothema.gr,294
1970779819866623,Kostas Dervos,Kostas Dervos,291
511603515593150,Nestlé,Nestlé,291
1561417253893662,Μίλτος Χατζηγιαννάκης - Miltos Chatzigiannakis,Virality,286
462297943960823,Πλεύση Ελευθερίας,Πλεύση Ελευθερίας,285
1645903788996329,liberal.gr,liberal.gr,280
240638659452549,To Potami,To Potami,280
248309308515494,Ίδρυμα Ωνάση / Onassis Foundation,Ίδρυμα Ωνάση / Onassis Foundation,278
142786442458509,Στέγη Ιδρύματος Ωνάση / Οnassis Cultural Centre Athens,Στέγη Ιδρύματος Ωνάση / Οnassis Cultural Centre Athens,265
2245032148843299,Nikos Papandreou,Nikos Papandreou,265
1689683741064617,Πράξη Αγάπης,Πράξη Αγάπης,261
668804566601196,Giorgos Patoulis,Georgios Patoulis,258
2049766581779230,Χαλκίδα Ζωντανή Πόλη,CPagonis,257
339741359534555,Katerina Panagopoulos,These ads ran without a disclaimer,251
357567421559428,Newsique,Emmanouil Kaklamanos,243
67561345728,Fofi Gennimata,Κίνημα Αλλαγής,238
729627343834501,Kialo,These ads ran without a disclaimer,233
96558369375,Εμπορικός Σύλλογος Αθηνών,Εμπορικός Σύλλογος Αθηνών,224
381579661926927,RP.GR,Spyridon Rizopoulos,223
1867952363274780,economico.gr,Theodoros Kaloudis,220
230852653624004,Στέλιος Κούλογλου - Stelios Kouloglou,Στέλιος Κούλογλου,219
106952522717824,Iefimerida,iefimerida,219
166028460704464,Law&Order,Law&Order,218
101137087979209,seventhgenerationgr,"Seventh Generation, a Unilever brand",218
104999117631014,Trelanemas.gr,Trelanemas.gr,213
235332330007800,Θοδωρής Ζαγοράκης / Thodoris Zagorakis,Θοδωρής Ζαγοράκης / Thodoris Zagorakis,211
540653716458457,Labros Palantzas / Λάμπρος Παλάντζας,Lampros Palantzas,211
2361393570538816,newsbreak.gr,newsbreak.gr,206
443842809693601,Βασιλική Λαζαράκου,Βασιλική Λαζαράκου,204
165710610795923,Δημήτρης Καιρίδης-Dimitris Kairidis,Dimitrios Kairidis,201
195279033847869,ΑΒ Βασιλόπουλος,ΑΒ Βασιλόπουλος,199
440044870161432,Μιμίκου Ευαγγελία - Υποψήφια Βουλευτής Εύβοιας - Νέα Δημοκρατία,These ads ran without a disclaimer,198
2212837805653569,Χριστίνα Τσιλιγκίρη / Christina Tsiligkiri,Christina Tsiligkiri,193
159977541380043,The President,These ads ran without a disclaimer,192
105109546186973,TA NEA,Alter Ego Media,190
1949870255322243,Cruel,In Progress,186
1236719233006589,PeopleCert Education,These ads ran without a disclaimer,174
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,173
186974508081005,Γιώργος Καμίνης,Georgios Kaminis,165
990976074263449,The Indicator,The Indicator,164
101818184760634,Ελλάδα Χωρίς Πλαστικά Μίας Χρήσης,SupFreeGreece,163
412207436231536,Γιώργος Νικητιάδης,Georgios Nikitiadis,162
195643347979465,Ioannis Vardakastanis,Ioannis Vardakastanis,161
881668438858051,Άννα Παππά - Υποψήφια Βουλευτής Εύβοιας - Νέα Δημοκρατία,These ads ran without a disclaimer,161
2249028181983165,Alexis Mitropoulos,These ads ran without a disclaimer,158
178362315106,European Parliament,These ads ran without a disclaimer,157
226397774096827,Δημιουργία Ξανά,Δημιουργία Ξανά,157
104299506270374,Euro2day,Euro2day,157
323456224972682,Στέλιος Κυμπουρόπουλος,Στέλιος Κυμπουρόπουλος,157
793736633995612,Μαυραγάνης Νικόλαος - πρ. Υφυπουργός Υποδομών και Μεταφορών,These ads ran without a disclaimer,152
412343665635401,Giannis Oikonomou,These ads ran without a disclaimer,150
2157952947597365,Ενεργοί Δημότες  Ξυλοκάστρου-Ευρωστίνης Επαμεινώνδας Κατσούλας,These ads ran without a disclaimer,146
2134523063335266,Κώστας Βουρδάνος,These ads ran without a disclaimer,143
141366725876424,European Greens,European Greens,143
1523771647899219,Γιώργος Χριστοφορίδης,Γιώργος Χριστοφορίδης,141
150398005058111,ASD Account Financial Advisor SA,Mairi Dimoula,140
333635613794935,ΜέΡΑ25,ΜέΡΑ25,139
80258823622,Evaggelos Venizelos,Evaggelos Venizelos,136
1208193765955691,Απόστολος Η. Πόντας,Απόστολος Πόντας,133
100142318008136,Φεστιβάλ ΚΝΕ-Οδηγητή,Φεστιβάλ ΚΝΕ-Οδηγητή,131
521189744638510,Κίνημα Υπέρβαση,Γεωργιος Κοντος,131
68078766209,Public,Public,130
674103179323981,Μίνα Καούνη & Συνεργάτες,Μίνα Καούνη & Συνεργάτες,129
373025059396105,Θάνος Μωραΐτης,Θάνος Μωραΐτης,128
118243363361950,Ενώνω,Νικόλαος Μαυραγάνης,126
344396292816360,Βίκυ Φλέσσα -Vicky Flessa,Pulse and Opinion S.A.,126
1886449184996763,EliteBoutique,These ads ran without a disclaimer,125
108950054276789,GEK TERNA Group of Companies,GEK TERNA GROUP,122
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,121
1922448441148089,Οι Άριστοι,In Progress,121
147547541961576,Council of the European Union,Council of the European Union,117
224407310782,Εκδόσεις Διόπτρα - Dioptra Publications,Εκδόσεις Διόπτρα,117
1413834448867079,George Kyrtsos - Γιώργος Κύρτσος,DigitalWise Agency,116
0,Instagram User 1868484993,These ads ran without a disclaimer,114
91157111480,news247.gr,news247.gr,113
1399423173671930,Χρήστος Παγώνης,Χρήστος Παγώνης,113
104172728093075,TERNA ENERGY,Terna Energy,112
1004900052864353,mononews.gr,mononews.gr,111
186848962521,www.capital.gr,www.capital.gr,111
488881447893898,Parizianista,These ads ran without a disclaimer,111
184884834877395,Tovimagr,Alter Ego Media,109
231622590274503,Η Άποψη,Evanthia Nasopoulou-Nasiopoulou,108
126822114784105,Voxpop Analysis,Ιωάννης Απόστολος Σκλίας,108
130154107009856,UNHCR GREECE,UNHCR GREECE,106
111254140378170,ΟΛΕ - Όλοι Ενωμένοι,Oloi Enomenoi,106
1758118501156962,Υπουργείο Εσωτερικών,These ads ran without a disclaimer,105
436390950473135,Θανάσης Ζεμπίλης,These ads ran without a disclaimer,105
413481085342507,Lidl Hellas,These ads ran without a disclaimer,104
13721812367,Eva Kaili,Eva Kaili,103
2090468044602452,Prosforarevma.gr,These ads ran without a disclaimer,102
2368116376735104,Σταμάτης Καλαμιώτης - Δημοτικός Σύμβουλος Πλειοψηφίας Δήμου Θηβαίων,These ads ran without a disclaimer,101
305998399465211,Νίκος Δένδιας,Νίκος Δένδιας,≤100
145547352134137,Mag24 Online Magazine,MAG24,≤100
340196092835431,Μιχελής Αθανάσιος- Michelis Athanasios,These ads ran without a disclaimer,≤100
272375755124,Βασίλης Μιχαλολιάκος,Βασίλης Μιχαλολιάκος,≤100
162281617279086,Popaganda,Popaganda,≤100
383369342003599,Green Mission,Green Mission,≤100
259934991581234,Μουρίκης Σωτήρης,These ads ran without a disclaimer,≤100
404183552993057,newmoney.gr,newmoney.gr,≤100
1651013171665903,Κώστας Μπαρούτας -  Δημοτικός Σύμβουλος Δήμου Χαλκίδας "ΛΥΣΗ ΤΩΡΑ",Κωνσταντίνος Μπαρούτας,≤100
177141002834880,Enel Green Power,Enel Green Power,≤100
773135603029457,Love Beauty and Planet GR,"Love Beauty and Planet GR, a Unilever brand",≤100
890040954380363,Kostas Karamanlis,Kostas Karamanlis,≤100
222713424521765,Novalac.gr,These ads ran without a disclaimer,≤100
1817333955054541,Antigoni Vafeidou-PV Lawyers,Αντιγόνη Βαφείδου,≤100
232855570573144,Ίδρυμα Vodafone,These ads ran without a disclaimer,≤100
15087023444,Nike,These ads ran without a disclaimer,≤100
841244745994599,E-κύκλος,KYKLOS IDEON GIA THN ETHNIKI ANASIGKROTISSI,≤100
381223016022155,Νικόλαος Λιόλιος - Συμπολιτεία Λοκρών,These ads ran without a disclaimer,≤100
615448205135697,Ypervasi TV,Γεωργιος Κοντος,≤100
1951011988554277,Θωμαΐς Οικονόμου - Thomais Oikonomou,These ads ran without a disclaimer,≤100
338557259679232,Γιάννης Μπουροδήμος - Giannis Mpourodimos,Ιωαννης Μπουροδημος,≤100
1394997234118853,Άννα Μισέλ Ασημακοπούλου - Anna Michelle Asimakopoulou,Άννα Μισέλ Ασημακοπούλου,≤100
2315077585478818,Stamouli Archives,These ads ran without a disclaimer,≤100
337788662974718,"Νότης Μαριάς, Ανεξάρτητος Ευρωβουλευτής",Επαμεινωνδας Μαριας,≤100
627330267312880,Vouliwatch,These ads ran without a disclaimer,≤100
1796286800600041,Mobile Info Team for refugees in Greece - الفريق المتنقل لمعلومات اللاجئين,Mobile Info Team for refugees in Greece - الفريق المتنقل لمعلومات اللاجئين,≤100
608258645986045,Ησαΐας Σωτήρης,Ησαίας Σωτήρης,≤100
273140972763180,Ανδρέας Κουτσούμπας,These ads ran without a disclaimer,≤100
109910114134172,Emfietzoglou Prodromos,Georgios Kourtelis,≤100
1561616060574694,Χάρης Μαμουλάκης,Χάρης Μαμουλάκης,≤100
235680846961905,Γενικόs Χειρουργόs-Ζησιάδης Δημήτρηs,These ads ran without a disclaimer,≤100
415071471915620,Ομάδα Αλήθειας,These ads ran without a disclaimer,≤100
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,These ads ran without a disclaimer,≤100
1903473413254089,Vagelis Papakonstantinou,Vagelis Papakonstantinou,≤100
1568442923392082,Συμεών Κεδίκογλου,Dariya Baylo,≤100
283958045871576,We Energy,Νικολαος Ζιωζας,≤100
386756061904875,Βαγγέλης Βαβουλιώτης,These ads ran without a disclaimer,≤100
722432034605746,OZON NGO,OZON NGO,≤100
649873868400170,Δαριβέρη Ιωάννα,These ads ran without a disclaimer,≤100
13721812367,Eva Kaili,These ads ran without a disclaimer,≤100
114613323285741,Συμμαχία για ένα Προοδευτικό ΤΕΕ,Βλαχακης Κωνσταντινος,≤100
462134551257626,Βαγγέλης Αποστόλου - Vagelis Apostolou,These ads ran without a disclaimer,≤100
1991680290950716,ΜΑΖΙ για το ΝΕΟ,These ads ran without a disclaimer,≤100
377656199634652,Δημήτρης Κοτσαμπασέρης,These ads ran without a disclaimer,≤100
184884834877395,Tovimagr,These ads ran without a disclaimer,≤100
1306987025984296,Σπήλιος Λιβανός,Spyridon-Panagiotis Livanos,≤100
309795039074935,Vassilis Kikilias,Vassilis Kikilias,≤100
757826564304898,Αφροδίτη Παπαθαναση,These ads ran without a disclaimer,≤100
367071700373569,Δίκτυο Ενεργών Καταναλωτών - Δ.Ε.ΚΑ,Styliani Patrona,≤100
293032088055279,Κλεομένης Κων. Λάππας - Διοικητής Θεραπευτηρίου Χρονίων Παθήσεων Ευρυτανίας,These ads ran without a disclaimer,≤100
344651032924154,Άννα Ροκοφύλλου - Anna Rokofyllou,These ads ran without a disclaimer,≤100
1434688373417133,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,≤100
103418834929728,Endless Earth,EUROCHARTIKI AEBE,≤100
103538174358842,Timeline.gr,Timeline,≤100
2039054036206660,Γεώργιος Παπαδιόχος Υποψήφιος Βουλευτής Ευβοιας ΚΙ.ΝΑ.Λ,These ads ran without a disclaimer,≤100
101119131665856,Neospiti,These ads ran without a disclaimer,≤100
211831995597479,Sofia Sakorafa,Sofia Sakorafa,≤100
866035200090418,Νίκη Τζαβέλα - Niki Tzavela Official,Φερονικη Τζαβελα,≤100
344633332924627,ΜέΡΑ25 Φθιώτιδα,These ads ran without a disclaimer,≤100
123836729361,New York College,New York College,≤100
1938524949694947,Vendora,These ads ran without a disclaimer,≤100
103754084863302,Εκδόσεις Επίκεντρο,Εκδόσεις Επίκεντρο,≤100
165508056809834,Το Παρασκήνιο,Νικόλαος Καραμανλής,≤100
1396653080627836,Χρήστος Σταϊκούρας / Christos Staikouras,Χρηστος Σταϊκουρας,≤100
318348635500526,Μπαρδάκας Βασίλειος,These ads ran without a disclaimer,≤100
1734701250090776,Fitness Pro,Fitness Pro,≤100
278119172215855,Olympia.gr,Olympia.gr,≤100
103672554644687,Ενεργοί Μπαμπάδες - Για τα δικαιώματα του παιδιού,Ενεργοί Μπαμπάδες - Για τα δικαιώματα του παιδιού,≤100
2337153663218259,Παναγιωτης Βασιλειου-υποψηφιος Δημ.Συμβουλος,These ads ran without a disclaimer,≤100
1560153334268463,Αχιλλέας Μπέος,neaepoxi-neadynamiki,≤100
525545151305029,Τραπεζούντιος Ε. Παντελής,These ads ran without a disclaimer,≤100
654245548014396,Προγραμματα Ανεργων & Εργαζομενων ΟΑΕΔ & Υπουργείων,These ads ran without a disclaimer,≤100
106640404652,Athena Korka - Αθηνά Κόρκα,These ads ran without a disclaimer,≤100
349789542353627,Σοφία Αναγνωσταρά,Sofia Anagnostara,≤100
103413627729937,Τάκης Αλεξανδράκης,Charalampos Maragkos,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
280496205994839,Βαρουξής Λευτέρης - Varouxis Lefteris,Digital Solutions,≤100
253581075582399,Μιχάλης Αγγελόπουλος,Michalis Angelopoulos,≤100
681711805329699,Βέττας Δημήτρης,These ads ran without a disclaimer,≤100
1376742042585484,Kostas Vaxevanis,Documento Media,≤100
2201646543256112,Ανδρουλάκης Αντώνιος - Υποψήφιος Δημοτικός Σύμβουλος Δήμου Ερέτριας,These ads ran without a disclaimer,≤100
386756061904875,Βαγγέλης Βαβουλιώτης,Βαβουλιωτης Αθανασιος,≤100
1554850174582846,politic.gr,These ads ran without a disclaimer,≤100
832766380123763,Κατερινα Μαρκου,Pulse and Opinion S.A.,≤100
300217683952795,Γιώργος Ξηραδάκης,George Xiradakis,≤100
743353205696144,Πέτρος Τατούλης,These ads ran without a disclaimer,≤100
275804345926200,Μαριλένα Σούκουλη-Βιλιάλη,These ads ran without a disclaimer,≤100
430065644401531,Βάγιας Κατσός - Υποψήφιος Βουλευτής Νομού Ευβοίας - Δημιουργία Ξανά,Βαγιας Κατσος,≤100
371447769624144,FMVoice,Nikolaos Manessiotis,≤100
862511674115977,Πάρη Ντελκή - Κυπαρισσία,These ads ran without a disclaimer,≤100
785049931642903,Έφη Αχτσιόγλου -Effie Achtsioglou,Έφη Αχτσιόγλου -Effie Achtsioglou,≤100
362681427193677,Κλινικός Φαρμακοποιός.gr,Κλινικός Φαρμακοποιός.gr,≤100
248244001876102,Κουρουμπλής Παναγιώτης/Kouroumplis Panagiotis,Panagiotis Kouroumplis,≤100
534527483369648,Ελληνικός Οργανισμός Πολιτικών Επιστημόνων ΕΟΠΕ - HAPSc,Ελληνικός Οργανισμός Πολιτικών Επιστημόνων ΕΟΠΕ - HAPSc,≤100
310648756200075,Θοδωρής Δουλουμπέκης - Theodore Douloumpekis,Theodoros Douloumpekis,≤100
1211410479036375,Μπούστρας Αριστείδης,These ads ran without a disclaimer,≤100
101080751377681,Big Brother Greece,Big Brother Greece,≤100
478919855480189,TEE,TEE,≤100
214565575223966,Γερμανός Ιατρικά,Γερμανός Ιατρικά,≤100
1375259192718674,The TOC,The TOC,≤100
2392151837686791,Βασίλειος Αναστασόπουλος  - Δημιουργία Ξανά,These ads ran without a disclaimer,≤100
162137897189227,Δικηγορικός Σύλλογος Αθηνών,E-SEPIA,≤100
489700481134251,Νεολαία Συριζα - Youth of Syriza,Νεολαία Συριζα - Youth of Syriza,≤100
612256878934707,pagenews.gr,pagenews.gr,≤100
436882700404941,Ελεύθερη Στερεά,Andreas Voulgaris,≤100
255954227832436,ActionAid Hellas Education,ActionAid Hellas,≤100
179792428724871,Μάκης Βορίδης,Μάκης Βορίδης,≤100
657782574275153,Μαρία Σπυράκη,Μαρία Σπυράκη,≤100
302800123945425,Γιάννης Κακριδής,These ads ran without a disclaimer,≤100
632272160550642,Νικόλαος Περρής,These ads ran without a disclaimer,≤100
349959315189579,Δημήτρης Οικονόμου,These ads ran without a disclaimer,≤100
351205875514876,Anna Papadimitriou Tsatsou,Pulse and Opinion S.A.,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
312132495609027,ARTεμείς Κοινσεπ,Eleni Exarchakou,≤100
234040963454964,Πέτρος Κόκκαλης - Petros Kokkalis,These ads ran without a disclaimer,≤100
112395696848373,Εταιρεία για τον Ελληνισμό και Φιλελληνισμό,ΕΤΑΙΡΕΙΑ ΓΙΑ ΤΟΝ ΕΛΛΗΝΙΣΜΟ ΚΑΙ ΦΙΛΕΛΛΗΝΙΣΜΟ,≤100
361638650611352,DUO Greece,DUO Greece,≤100
201116097456747,ΜΕΡΑ25Εκλογές 2019  ΒΠειραιά Υποψήφιος Βουλευτής Ζώης Κοτσαρίνης,These ads ran without a disclaimer,≤100
357199067786276,Νίκος Ταγαράς-Nikos Tagaras,Νικόλαος Ταγαράς,≤100
227819554016477,agora-zw.gr,agora-zw.gr,≤100
1727608780803972,Λογιστικός Σύλλογος Αθηνών,Σοφία Κομηνού,≤100
686133618504767,Σπύρος Στάμου - Δημιουργία Ξανά στην Κορινθία,Spyridon Stamou,≤100
656041201501186,Γιώργος Κορκόβελος - Υποψήφιος Ευρωβουλευτής με το Ποτάμι,Γιώργος Κορκόβελος,≤100
1179720465401049,Το δέλτα - πολιτική επανάσταση,Το δέλτα - πολιτική επανάσταση,≤100
627249040690694,Παναγιώτης Ε. Νίκας,Παναγιώτης Ε. Νίκας,≤100
2036642163261209,Orthos Logos News,Orthos Logos News,≤100
1364199227091739,Freedom Greece - Τάκης Μουσσάς,Παναγιωτης Μουσσας,≤100
1651084981816691,Boobam,These ads ran without a disclaimer,≤100
2113568635597685,Βασίλης Βιλιάρδος,Βασιλειος Βιλιαρδος,≤100
549879961791765,Dr.Shoe- handmade creations,These ads ran without a disclaimer,≤100
484835391675652,Ahepa Hellas,Ahepa Hellas,≤100
153535318152857,"Generation 2.0 for Rights, Equality & Diversity","Generation 2.0 for Rights, Equality & Diversity",≤100
113072960477612,We Are Goping,Zen Projects LP,≤100
572310069938485,Fotini Bakadima,Fotini Bakadima,≤100
850383094986287,ΕΟΑΝ-Ελληνικός Οργανισμός Ανακύκλωσης,ΕΟΑΝ-Ελληνικός Οργανισμός Ανακύκλωσης,≤100
114363450250261,Γενική Γραμματεία Συντονισμού Διαχείρισης Αποβλήτων,Γενική Γραμματεία Συντονισμού Διαχείρισης Αποβλήτων,≤100
1876163779367852,Πιτσάκης Παναγιώτης,These ads ran without a disclaimer,≤100
503668739739159,Θέμης Χειμάρας - Themis Cheimaras,Themistoklis Cheimaras,≤100
470115806861343,Βασίλης Μάρκου,Konstantinos Markou,≤100
2212837805653569,Χριστίνα Τσιλιγκίρη / Christina Tsiligkiri,These ads ran without a disclaimer,≤100
1726222917647076,Commonality,Κωνσταντινος Ψιουρης,≤100
140247186053373,Όλγα Κεφαλογιάννη / Olga Kefalogianni,Όλγα Κεφαλογιάννη / Olga Kefalogianni,≤100
1561417253893662,Μίλτος Χατζηγιαννάκης - Miltos Chatzigiannakis,These ads ran without a disclaimer,≤100
128851053620,Giannis Ragkousis,These ads ran without a disclaimer,≤100
101049498350321,Edemrights - ΕΔΕΜ,Ένωση Δικαιούχων Έργων Μουσικής,≤100
272999270266817,Kleopatra Sidiropoulou,Kleopatra Sidiropoulou,≤100
113886248659099,Επιθυμίες - Epithimies,These ads ran without a disclaimer,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
357567421559428,Newsique,newsique,≤100
1024411677762875,ΕΡΓΑΣΙΑ ΕΛΛΑΣ,These ads ran without a disclaimer,≤100
452625345527797,Αριστοτέλης - Άρης  Παναγόπουλος Πολιτικός - Αχαΐα,These ads ran without a disclaimer,≤100
1925659984382187,Παπαστράτος,These ads ran without a disclaimer,≤100
312132495609027,ARTεμείς Κοινσεπ,ARTεμείς Κοιν.Σ.Επ.,≤100
651493618596521,EENE Ελληνική Ένωση Επιχειρηματιών,ΕΕΝΕ Ελληνική Ένωση Επιχειρηματιών,≤100
2077629368981562,Χρήστος Στάθης,These ads ran without a disclaimer,≤100
462603193829493,Νίκος Χουντής-Nikos Chountis,Konstantinos Siampanopoulos,≤100
650014548746122,Ισμήνη Μώρου,Μωρου Ισμηνη,≤100
237514403464218,Βασίλης Φεύγας,Βασιλειος Φευγας,≤100
107122606023940,Reporter.gr,Reporter.gr,≤100
1446240288952943,Πέτρος Μακρόπουλος,These ads ran without a disclaimer,≤100
101208938155181,QuickenLaw Νομικοί Σύμβουλοι,These ads ran without a disclaimer,≤100
106526587944831,Δήμητρα Αναγνωστοπούλου Δημοτική Σύμβουλος Δήμου Σπάτων Αρτέμιδος,Dimitra Anagnwstopoulou,≤100
2140957882645467,Αλεξοπούλου Χριστίνα,Αλεξοπούλου Χριστίνα,≤100
590556791403274,OsteoStrong Greece,OsteoStrong Greece,≤100
165328146839443,Μητροπολιτικό Κολλέγιο,Μητροπολιτικό Κολλέγιο,≤100
1651013171665903,Κώστας Μπαρούτας -  Δημοτικός Σύμβουλος Δήμου Χαλκίδας "ΛΥΣΗ ΤΩΡΑ",These ads ran without a disclaimer,≤100
542102979496981,Piperata.gr,These ads ran without a disclaimer,≤100
697059720410685,Θανάσης Αυγερινός - Δημόσιο πρόσωπο,Αθανασιος Αυγερινος,≤100
244712512294546,Θανάσης Χειμωνάς,Athanasios Cheimonas,≤100
104368444297020,Economix.gr,www.economix.gr,≤100
107675444126178,Portraits.gr,portraits.gr,≤100
282643888421173,Ελεύθερος Τύπος,Ελεύθερος Τύπος,≤100
1411351389099685,Manifesto - Η αρχή,Βασιλειος Αναγνωστου,≤100
127462347379054,Mykonos Promo,Flying to Greece,≤100
274093088099,Euroletter - όλα για την Ευρώπη,Αδαμαντιος Σεϊτανιδης,≤100
122074554119,EU Social,These ads ran without a disclaimer,≤100
146955527905,EU Civil Protection & Humanitarian Aid - ECHO,These ads ran without a disclaimer,≤100
912293735783615,Δημήτρης Κωνσταντακόπουλος,Δημητριος Κωνσταντακοπουλος,≤100
1407652086114560,Giorgos Amiras - Γιώργος Αμυράς,Giorgos Amiras - Γιώργος Αμυράς,≤100
722536517852509,Κέντρο Ερευνών για Θέματα Ισότητας,Κέντρο Ερευνών για Θέματα Ισότητας,≤100
1400089100109315,Volvo Βελμάρ,These ads ran without a disclaimer,≤100
104030191565106,Ταμείον Ελληνικού Στόλου  - Αβέρωφ II,Emfietzoglou Prodromos,≤100
134821969948251,Η ΚΑΘΗΜΕΡΙΝΗ - Επίσημη σελίδα,Η ΚΑΘΗΜΕΡΙΝΗ - Επίσημη σελίδα,≤100
257835914674774,Diamantís Karanastasis /page,Πλεύση Ελευθερίας,≤100
2355397347825950,Γεώργιος Γελέκας,These ads ran without a disclaimer,≤100
305608429284,EU Environment,These ads ran without a disclaimer,≤100
155936831104234,"Αποστολόπουλος Ηλίας,  Δήμαρχος Παπάγου - Χολαργού",Apostolopoulos Ilias,≤100
264433650874916,Γιώργος Τσίπρας / Giorgos Tsipras,Γεωργιος Τσιπρας,≤100
569291716578036,iSea,iSea,≤100
193042544144341,Γιώργος Κουμουτσάκος - Giorgos Koumoutsakos,Γιώργος Κουμουτσάκος - Giorgos Koumoutsakos,≤100
1401098180146606,Ιωάννης Σγουρός,Ιωαννης Σγουρος,≤100
1318579391628134,Ιωάννου Πέτρος - υποψήφιος Περιφερειακός σύμβουλος Θεσσαλίας,These ads ran without a disclaimer,≤100
88027997208,Διεθνής Αμνηστία - Ελληνικό Τμήμα,Διεθνής Αμνηστία - Ελληνικό Τμήμα,≤100
